Scenario	Replication	([CycleTime].SampleAverage)/1[min]		[TransportToLab].WorkingTime/[TransportToLab].TotalTime		[FillForm].WorkingTime/[FillForm].TotalTime		[TakeX-ray].WorkingTime/[TakeX-ray].TotalTime		[DevelopX-Ray].WorkingTime/[DevelopX-Ray].TotalTime		[Inspection].WorkingTime/[Inspection].TotalTime		[TransportToWard].WorkingTime/[TransportToWard].TotalTime		[MessengerTransfer].WorkingTime/[MessengerTransfer].TotalTime		[Orderly1].WorkingTime/[Orderly1].TotalTime		[Orderly2].WorkingTime/[Orderly2].TotalTime		[Orderly3].WorkingTime/[Orderly3].TotalTime		[X-RayTech1].WorkingTime/[X-RayTech1].TotalTime		[X-RayTech2].WorkingTime/[X-RayTech2].TotalTime		[X-RayTech3].WorkingTime/[X-RayTech3].TotalTime		[X-RayRoom1].WorkingTime/[X-RayRoom1].TotalTime		[X-RayRoom2].WorkingTime/[X-RayRoom2].TotalTime		[DRTech1].WorkingTime/[DRTech1].TotalTime		[DRTech2].WorkingTime/[DRTech2].TotalTime		[DarkRoom1].WorkingTime/[DarkRoom1].TotalTime		[InMonday].SampleAverage		[InTuesday].SampleAverage		[InWednesday].SampleAverage		[InThursday].SampleAverage		[InFriday].SampleAverage		[OutMonday].SampleAverage		[OutTuesday].SampleAverage		[OutWednesday].SampleAverage		[OutThursday].SampleAverage		[OutFriday].SampleAverage		[TransportLabQueue].QueueLengthAverage		[WaitingArea].QueueLengthAverage		[WaitingX-Ray].QueueLengthAverage		[WaitingDevelop].QueueLengthAverage		[InspectionQueue].QueueLengthAverage		[ReturnQueue].QueueLengthAverage		[PatientWardQueue].QueueLengthAverage		[AvgQueueLength].Value		([TransportLabQueue].AverageQueueTime+[WaitingArea].AverageQueueTime+[WaitingX-Ray].AverageQueueTime+[WaitingDevelop].AverageQueueTime+[InspectionQueue].AverageQueueTime+[ReturnQueue].AverageQueueTime+[PatientWardQueue].AverageQueueTime)/1[min]		[PatientEnterPhysiciansOffice].NumberAdded/2	
1	1	311.35869855372243		0.666374925375		0.4473328974097222		0.8904794508773147		0.9812723747523148		0.15651364337037035		0.4761470160069444		0.0633205066111111		0.9059173490578704		0.8559143273657407		0.8061669748726851		0.997406909199074		0.9979817513125		0.997789479449074		0.6666817615092592		0.6613285149490741		0.5770144592106481		0.5630509819467593		0.9812723747523148		3.87500000000001		3.916666666666677		4.354166666666672		3.916666666666677		3.8958333333333437		1.781250000000004		1.8854166666666714		1.8854166666666714		1.9895833333333388		1.8854166666666714		28.793326197162042		83.47003773623383		0.8103092155949082		181.84772847079856		0.20846067574999788		0.06304155075231446		1.6867026088032429		296.67114577934484		2270.1706029992138		450.0	
1	2	275.86729797346754		0.631192418636574		0.4349213577800926		0.8885921844722222		0.9799350067291667		0.15964794682175926		0.46647406887268517		0.05902660898379629		0.8883802810717593		0.8294804764212962		0.761546634599537		0.9984265548796296		0.9980417902777777		0.9972634093055555		0.6549873412777778		0.6805964185902778		0.5787778281226851		0.5630866941018519		0.9799350067291667		3.604166666666675		3.6666666666666754		3.8125000000000098		3.604166666666675		4.229166666666674		1.8854166666666714		1.8854166666666714		1.5729166666666692		1.8854166666666714		1.8854166666666714		26.389823433504695		65.88727029058107		0.8101180383726839		173.1926961244351		0.22587889681481527		0.06935124944212985		1.7637454992708341		268.1130046356065		2097.3040419332833		435.0	
1	3	217.13191528218894		0.6498074348657407		0.4447652518194444		0.8885114350115739		0.9861051209699074		0.14883749553472223		0.4400757595138889		0.06120784418981481		0.8924104870277778		0.8181417451481481		0.7624234763287037		0.9981867317546296		0.9977264784189814		0.9977396423402777		0.6701769967060185		0.6611759696574073		0.5806171177546297		0.5559550220879629		0.9861051209699074		3.562500000000008		3.8958333333333437		4.27083333333334		3.645833333333342		3.7500000000000093		1.6770833333333366		1.781250000000004		1.6770833333333366		1.781250000000004		1.781250000000004		26.784943118900443		69.58406810079622		0.6843397481319449		194.25851177265974		0.2820359733773148		0.05927390140509315		1.847027684807869		293.2181643267013		2254.012135126844		415.0	
1	4	293.67159064011895		0.6413751866550925		0.44424045669675927		0.8883807239467592		0.987783629138889		0.14116574688657407		0.4443072010648148		0.058604397550925925		0.8825875357847223		0.8110469736273148		0.764617720486111		0.9989707442013888		0.9972772113819444		0.9971608578726852		0.6634699586782407		0.6745233754768518		0.5542566388935185		0.5760167024351851		0.987783629138889		3.437500000000007		4.000000000000011		3.770833333333343		4.312500000000006		3.7500000000000093		1.5729166666666692		1.8854166666666714		1.5729166666666692		1.781250000000004		1.9895833333333388		25.92547663171532		64.6055620290972		0.6948173583194432		196.8297134561552		0.209927365277778		0.06098712304166611		1.7797861029189823		289.8963427012478		2201.0572444331		420.0	
1	5	260.79298945415684		0.6448290483842593		0.43771105582638886		0.890659773875		0.9851931475532406		0.15347896562962962		0.45892687824999995		0.05911750889351852		0.8758351048819444		0.8164998087268518		0.7603638738402777		0.9984634986666666		0.998140065337963		0.9973135253912037		0.6637483981157407		0.671179373		0.565359807337963		0.5748290947546296		0.9851931475532406		3.479166666666674		4.520833333333337		3.87500000000001		3.2500000000000058		3.8333333333333433		1.5729166666666692		1.8854166666666714		1.6770833333333366		1.6770833333333366		2.177083333333336		25.104151594643536		72.03799767475472		0.6905478922129636		195.03175029207856		0.22166366081944472		0.06809119121296266		1.7773733193194459		294.70991196422216		2271.3572203385033		429.0	
1	6	344.2884174036521		0.6113337818125		0.4407221043819444		0.8969583420787036		0.9845886473171296		0.15571169084722222		0.470283124212963		0.061340853432870365		0.8712779947453703		0.7958772279212962		0.7258923827638888		0.9973937724444445		0.9979805488865741		0.9980127077083333		0.6626421228240741		0.6728957008680556		0.5845938115925926		0.5571811910972222		0.9845886473171296		4.166666666666675		3.5000000000000075		3.562500000000008		3.354166666666673		3.2916666666666727		1.781250000000004		1.8854166666666714		1.781250000000004		1.8854166666666714		1.9895833333333388		19.972576387891234		64.71517961240284		0.7111502083495373		178.37554337515746		0.20358586326620376		0.05774904972916657		1.7280981662129613		265.56029679974324		2111.892587681722		445.0	
1	7	301.5265079881085		0.6333096866597222		0.445200181125		0.8890061702847222		0.9843702330347222		0.15237651333564814		0.4624410508634259		0.06199969919444444		0.8695645063518519		0.8221217427916666		0.7579657096203704		0.997833773587963		0.997422089861111		0.9966450598564814		0.6681936850185185		0.6596676979305555		0.5610920035115741		0.5774802978842593		0.9843702330347222		3.9375000000000107		3.7500000000000093		3.5833333333333415		3.5416666666666745		3.8125000000000098		1.8854166666666714		1.781250000000004		1.781250000000004		1.9895833333333388		1.8854166666666714		22.039563582351803		60.73612452513885		0.7124295538680566		182.00939790162738		0.21846270716666608		0.051629051601850794		1.7746288677731468		267.32377348236116		2077.2380413741107		445.0	
1	8	236.16331455602415		0.6302920381296295		0.4322042312708333		0.8909551216249999		0.9842397261597221		0.15599715306481482		0.4522439544421296		0.057692067662037036		0.8897746695254629		0.8167997048888889		0.765524155662037		0.9987429801134259		0.9984519670671296		0.998391024162037		0.6718222739652777		0.6703282602499999		0.5881548004745369		0.5540559750138888		0.9842397261597221		3.6666666666666754		4.104166666666676		3.770833333333343		3.2708333333333393		4.208333333333341		1.6770833333333366		1.5729166666666692		1.781250000000004		1.781250000000004		1.8854166666666714		23.772016825532365		74.80510142108564		0.683868698634259		188.14031432181727		0.2181499475023138		0.06257521367361195		1.7754836721944454		289.2393601529376		2247.2764318119175		415.0	
1	9	309.1138302392459		0.6283231385856481		0.4439209979953703		0.8972963400648147		0.9852052425555555		0.14988962330787037		0.4403605161550926		0.05743802301851851		0.8701143997013888		0.7979824018171295		0.7248911714212962		0.9969735442777777		0.9970971109351852		0.996983776787037		0.6697777153009258		0.666392144162037		0.572336780361111		0.5642736947777778		0.9852052425555555		3.520833333333341		3.7916666666666763		3.5000000000000075		3.437500000000007		3.7916666666666763		1.5729166666666692		1.781250000000004		1.8854166666666714		1.781250000000004		1.781250000000004		20.710491528673607		51.369454813298596		0.6822699710439809		189.27905015292623		0.21767490274537055		0.049933371569446265		1.8248864711111115		263.91608630862294		2056.0263208866145		420.0	
1	10	388.86575999369336		0.6512414865509258		0.4487577556597222		0.8875693652662037		0.9836593764236111		0.14956583638425924		0.46912644471527776		0.05829849053472222		0.8774684590231482		0.8153974310925926		0.7437514433055555		0.9862068878564814		0.9874486169467592		0.9876230497129629		0.6548602558125		0.6526519539467593		0.5671114505092593		0.5677857964097223		0.9836593764236111		3.2916666666666727		3.354166666666673		3.8333333333333433		3.9375000000000107		4.020833333333344		1.781250000000004		1.781250000000004		1.781250000000004		1.8854166666666714		1.9895833333333388		23.930964945261604		39.19909699542358		0.7078246683356471		181.18116687654887		0.24856706016666458		0.05327258076388973		1.6983439082106486		246.77066997454426		1941.270250212212		440.0	
