Scenario	Replication	[CycleTime].SampleAverage/1[min]		[LastPatientMonday].SampleAverage		Overtime		[LastPatientTuesday].SampleAverage				[LastPatientWednesday].SampleAverage				[LastPatientThursday].SampleAverage				[LastPatientFriday].SampleAverage				[TransportToLab].WorkingTime/[TransportToLab].TotalTime		[FillForm].WorkingTime/[FillForm].TotalTime		[TakeX-ray].WorkingTime/[TakeX-ray].TotalTime		[Inspection].WorkingTime/[Inspection].TotalTime		[TransportToWard].WorkingTime/[TransportToWard].TotalTime		[Orderly1].WorkingTime/[Orderly1].TotalTime		[Orderly2].WorkingTime/[Orderly2].TotalTime		[Orderly3].WorkingTime/[Orderly3].TotalTime		[Orderly4].WorkingTime/[Orderly4].TotalTime		[X-RayTech1].WorkingTime/[X-RayTech1].TotalTime		[X-RayTech2].WorkingTime/[X-RayTech2].TotalTime		[X-RayTech3].WorkingTime/[X-RayTech3].TotalTime		[X-RayTech4].WorkingTime/[X-RayTech4].TotalTime		[X-RayTech5].WorkingTime/[X-RayTech5].TotalTime		[X-RayRoom1].WorkingTime/[X-RayRoom1].TotalTime		[X-RayRoom2].WorkingTime/[X-RayRoom2].TotalTime		[X-RayRoom3].WorkingTime/[X-RayRoom3].TotalTime		[InMonday].SampleAverage		[InTuesday].SampleAverage		[InWednesday].SampleAverage		[InThursday].SampleAverage		[InFriday].SampleAverage		[OutMonday].SampleAverage		[OutTuesday].SampleAverage		[OutWednesday].SampleAverage		[OutThursday].SampleAverage		[OutFriday].SampleAverage		[TransportLabQueue].QueueLengthAverage		[WaitingArea].QueueLengthAverage		[WaitingX-Ray].QueueLengthAverage		[InspectionQueue].QueueLengthAverage		[ReturnQueue].QueueLengthAverage		[AvgQueueLength].Value		([TransportLabQueue].AverageQueueTime+[WaitingArea].AverageQueueTime+[WaitingX-Ray].AverageQueueTime+[InspectionQueue].AverageQueueTime+[ReturnQueue].AverageQueueTime)/1[min]		[PatientEnterPhysiciansOffice].NumberAdded	
1	11	93.3812858		779.5431024		59.54310238		2312.266906		152.2669062		3688.794084		88.79408438		5188.843732		148.8437323		6625.728155		145.7281548		0.513229013		0.431616973		0.55826602		0.244194184		0.532152453		0.567610897		0.561806717		0.553295992		0.555987512		0.474464001		0.477300638		0.4709766		0.478161471		0.473981759		0.494388256		0.492066784		0.492961157		3.604166667		4.145833333		3.833333333		4.145833333		4.0625		3.604166667		4.145833333		3.833333333		4.145833333		4.0625		5.38276249		0.067259106		0.620684369		0.056464111		1.588661478		7.659367443		58.30252849		945	
1	12	86.61049992		782.8657954		62.86579543		2261.093481		101.093481		3661.32928		61.32927955		5157.820497		117.8204975		6641.983514		161.9835139		0.494457816		0.415116125		0.544586397		0.227140194		0.511591935		0.536004009		0.540545111		0.527940418		0.513940063		0.459532867		0.462531937		0.46067385		0.469904702		0.464640433		0.494675336		0.49324751		0.493362643		3.75		3.583333333		3.354166667		3.854166667		4.020833333		3.75		3.583333333		3.354166667		3.854166667		4.020833333		3.544780813		0.070414948		0.863218662		0.067552812		1.76599617		6.244410594		50.39136153		886	
1	13	86.74834316		804.8433625		84.84336247		2279.509536		119.5095364		3758.539577		158.5395774		5113.76128		73.76128013		6603.508239		123.5082386		0.499311287		0.418648144		0.546428162		0.228237475		0.517316033		0.55346342		0.548146226		0.548402479		0.538416903		0.465454998		0.468355833		0.450033662		0.455073677		0.459196027		0.478787145		0.479591545		0.481831485		3.770833333		3.958333333		4.125		3.458333333		4		3.770833333		3.958333333		4.125		3.458333333		4		3.739747314		0.063183178		0.760949942		0.051945393		2.091854197		6.655734631		51.81076162		922	
1	14	82.92908051		820.3433827		100.3433827		2297.948172		137.9481717		3659.69541		59.69540993		5090.40636		50.40635993		6533.134158		53.1341576		0.476753729		0.397540646		0.523923608		0.224349745		0.497050476		0.535621472		0.521662528		0.521685747		0.503793001		0.439672835		0.447221189		0.446703707		0.434604854		0.443296216		0.464220089		0.457872123		0.456360845		3.833333333		3.9375		3.479166667		3.416666667		3.6875		3.833333333		3.9375		3.479166667		3.416666667		3.6875		3.364180702		0.066681951		0.589020802		0.054121047		1.799406568		5.819290022		47.7672771		876	
1	15	79.07607515		877.6401306		157.6401306		2243.760286		83.76028562		3664.224362		64.22436235		5091.285913		51.28591292		6548.949039		68.9490387		0.477648843		0.411758952		0.527030087		0.227362926		0.499288857		0.528657317		0.525434027		0.519646367		0.49747615		0.448235147		0.433933069		0.452537278		0.457954814		0.45197847		0.469390242		0.477487319		0.46425893		4.1875		3.8125		3.3125		3.520833333		3.479166667		4.1875		3.8125		3.3125		3.520833333		3.479166667		2.582541856		0.078243371		0.593742153		0.057864189		2.051457367		5.305984747		43.64114278		874	
1	16	93.14512189		877.0024466		157.0024466		2249.600733		89.60073338		3775.093046		175.0930458		5099.598398		59.59839752		6567.396085		87.3960851		0.486025993		0.4158386		0.537883776		0.231567059		0.516099897		0.556146218		0.532285817		0.528823831		0.524732461		0.462425252		0.463228484		0.458486125		0.452439162		0.463631591		0.483023119		0.483108064		0.483251995		4.0625		3.4375		4.291666667		3.5		3.479166667		4.0625		3.4375		4.291666667		3.5		3.479166667		4.09616794		0.069625005		1.129561596		0.0592757		1.889894319		7.18524886		57.02895597		896	
1	17	80.09638817		785.3408112		65.34081122		2215.068657		55.06865708		3717.202445		117.202445		5127.844004		87.84400412		6573.796095		93.79609492		0.485060556		0.404797218		0.526351658		0.220894077		0.502122437		0.538752197		0.515966287		0.526974408		0.5134422		0.445582209		0.439967004		0.439409027		0.440844162		0.44072853		0.465695977		0.459808322		0.458967094		3.645833333		3.645833333		3.875		3.666666667		3.625		3.645833333		3.645833333		3.875		3.666666667		3.625		2.970643132		0.05358743		0.544369029		0.044191923		1.963500285		5.532099876		45.13108588		881	
1	18	94.8997888		822.2152449		102.2152449		2288.560684		128.5606839		3704.982273		104.9822726		5261.975497		221.9754966		6593.183458		113.1834576		0.513962937		0.439180783		0.565569923		0.244724958		0.540320628		0.568090629		0.566187207		0.56639287		0.548581493		0.475298627		0.491012585		0.481061382		0.479794588		0.480001677		0.499606146		0.502435868		0.506634808		3.854166667		4.0625		3.520833333		4.291666667		4.020833333		3.854166667		4.0625		3.520833333		4.291666667		4.020833333		5.543134441		0.071137793		0.69510898		0.060538152		1.491293951		7.800675164		59.39973238		943	
1	19	88.64977105		762.4865654		42.48656537		2249.570125		89.5701253		3745.406237		145.4062367		5180.235721		140.2357215		6615.927763		135.9277628		0.490778653		0.420092547		0.543392995		0.24420983		0.510259889		0.546869664		0.544405948		0.539341602		0.526456167		0.468598981		0.472811412		0.453140248		0.468098033		0.466586222		0.486617398		0.484236915		0.484822074		3.375		3.770833333		4.020833333		3.854166667		3.979166667		3.375		3.770833333		4.020833333		3.854166667		3.979166667		4.063176389		0.082164253		0.764040944		0.053626563		1.801621631		6.711003216		52.88020292		907	
1	20	88.59958458		850.0957106		130.0957106		2291.222606		131.2226057		3734.502161		134.5021613		5147.167308		107.1673082		6562.104296		82.10429632		0.483687755		0.409451586		0.540241891		0.220509964		0.509081346		0.551014404		0.530250835		0.515613652		0.516314524		0.453418356		0.444543615		0.456626524		0.460766627		0.458132748		0.488535291		0.481147962		0.475687856		3.145833333		4.020833333		3.854166667		3.895833333		3.604166667		3.145833333		4.020833333		3.854166667		3.895833333		3.604166667		3.559467582		0.069154563		0.928120097		0.059422661		1.964987069		6.521729311		52.73368987		884	
1	21	91.93962591		857.2990443		137.2990443		2236.585744		76.5857443		3683.777935		83.77793475		5092.426726		52.42672602		6674.631916		194.6319155		0.498032982		0.427963097		0.541524678		0.224870309		0.519978686		0.542689566		0.554036912		0.545199884		0.54263232		0.460637525		0.464202532		0.45650781		0.455742775		0.45711964		0.478297795		0.484628304		0.479393769		4.125		3.666666667		3.416666667		3.6875		4.354166667		4.125		3.666666667		3.416666667		3.6875		4.354166667		4.293346196		0.074631942		0.799377993		0.057248618		2.118007475		7.285363605		56.91572617		919	
1	22	89.72017809		814.9880071		94.98800708		2217.030046		57.03004583		3705.669174		105.6691741		5095.129675		55.12967478		6565.909445		85.90944472		0.475196875		0.4088834		0.521932395		0.230366495		0.495408035		0.529875207		0.531310815		0.527176579		0.517517883		0.45201918		0.455364746		0.451881935		0.453634359		0.44374666		0.471287549		0.469376103		0.471557764		3.833333333		3.604166667		4.020833333		3.416666667		3.645833333		3.833333333		3.604166667		4.020833333		3.416666667		3.645833333		3.631747419		0.089455923		0.805848377		0.061175418		2.156745606		6.683797325		54.11103231		884	
1	23	91.50507184		797.0700389		77.07003892		2212.453934		52.45393355		3765.047922		165.0479222		5104.937845		64.93784543		6662.443159		182.443159		0.506816701		0.431849721		0.543933273		0.237277542		0.523452321		0.557915033		0.546601171		0.544588494		0.541748198		0.471654509		0.469137027		0.474552141		0.480094744		0.474206443		0.504253296		0.502252111		0.502377291		3.645833333		3.5625		4.208333333		3.583333333		4.083333333		3.645833333		3.5625		4.208333333		3.583333333		4.083333333		3.922032131		0.08165895		1.104673793		0.063657176		1.942830716		7.05119559		55.25289274		911	
1	24	87.19474807		871.7101785		151.7101785		2244.082842		84.08284227		3722.861953		122.861953		5084.733967		44.73396658		6625.903235		145.903235		0.508535451		0.435478947		0.548657984		0.242146425		0.519868205		0.561146781		0.547011767		0.531540141		0.530078603		0.467588211		0.472236391		0.478049606		0.471458812		0.478301982		0.494185461		0.49659012		0.501486596		4.166666667		3.791666667		4.041666667		3.1875		4		4.166666667		3.791666667		4.041666667		3.1875		4		4.244000406		0.077021658		0.80762805		0.066797481		1.436143709		6.564793823		51.44954776		916	
1	25	74.73397546		841.5495532		121.5495532		2301.350192		141.3501921		3691.181835		91.18183457		5110.113258		70.11325782		6539.822915		59.82291455		0.496985049		0.410950296		0.540589629		0.22295779		0.509847069		0.549637041		0.536086323		0.518402633		0.527217441		0.461777314		0.455522615		0.450836313		0.455772632		0.451789947		0.486222973		0.476460736		0.480000181		3.9375		4.125		3.520833333		3.666666667		3.416666667		3.9375		4.125		3.520833333		3.666666667		3.416666667		2.636009749		0.058934617		0.534824289		0.058990611		1.633276319		4.863044973		39.35163868		891	
1	26	84.85444679		828.0134372		108.0134372		2254.686957		94.6869574		3735.403574		135.4035737		5096.780531		56.78053085		6584.05511		104.0551103		0.483358681		0.408090564		0.526227092		0.225273745		0.502082146		0.522875223		0.542348894		0.520935992		0.512354444		0.455052031		0.445314851		0.450788243		0.453136364		0.451977737		0.474257277		0.473484734		0.475193967		3.854166667		3.75		3.625		3.395833333		3.875		3.854166667		3.75		3.625		3.395833333		3.875		3.412598102		0.077688467		0.67761824		0.060365089		1.904147922		6.072052731		49.36434497		883	
